,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
58,RMIT Building 14,76,38,28,13,18,30,106,311,1147,950,1212,1381,1817,1687,2425,1474,1775,1775,1559,1032,956,636,327,178,20951,872.9583333,1/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
