,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
56,RMIT Bld 80 - 445 Swanston Street,8,4,6,2,2,1,3,27,64,96,150,167,144,182,253,214,205,163,43,38,26,25,27,19,1869,77.875,31/08/2019
57,Flinders La-Swanston St (West) Temporary,818,440,269,181,155,196,179,,468,1439,1909,2818,3394,3838,3914,3588,3706,3614,3062,2727,1983,1812,1435,1217,43162,1876.608696,31/08/2019
58,RMIT Building 14,133,97,49,29,21,43,32,57,150,323,419,435,570,742,755,774,833,843,728,664,593,533,312,180,9315,388.125,31/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,31/08/2019
0,Bourke Street Mall (North),16,13,1,4,,7,22,28,73,208,314,444,530,671,770,959,830,561,200,99,69,37,24,15,5895,256.3043478,1/08/2020
1,Bourke Street Mall (South),6,6,3,3,3,5,86,18,42,121,211,292,415,465,509,521,366,265,97,55,46,19,26,9,3589,149.5416667,1/08/2020
2,Melbourne Central,39,37,29,26,33,38,51,43,67,111,211,300,422,470,486,485,564,469,389,227,156,153,121,73,5000,208.3333333,1/08/2020
3,Town Hall (West),16,12,10,14,13,20,37,61,107,189,288,374,496,643,614,611,528,428,245,139,94,72,57,33,5101,212.5416667,1/08/2020
4,Princes Bridge,35,24,27,27,18,33,60,74,125,171,262,346,461,454,568,449,446,380,177,113,85,97,79,40,4551,189.625,1/08/2020
5,Flinders Street Station Underpass,23,12,27,10,4,32,67,100,101,110,152,274,321,368,475,338,371,281,232,98,87,101,38,43,3665,152.7083333,1/08/2020
6,Birrarung Marr,6,16,5,3,20,12,28,52,144,189,218,269,371,338,347,381,334,203,67,34,26,8,13,5,3089,128.7083333,1/08/2020
7,Webb Bridge,8,9,2,3,2,6,20,52,106,150,241,304,358,384,354,370,309,261,93,58,54,34,23,21,3222,134.25,1/08/2020
8,Southern Cross Station,4,4,3,,3,16,32,33,17,46,43,57,55,47,89,53,78,56,45,23,20,9,7,6,746,32.43478261,1/08/2020
9,Victoria Point,1,2,3,,1,4,4,17,24,31,32,32,45,53,51,45,45,46,31,30,19,17,9,8,550,23.91304348,1/08/2020
10,Waterfront City,7,,3,2,,,7,17,24,40,77,84,94,121,116,128,99,97,53,48,25,16,20,13,1091,51.95238095,1/08/2020
11,New Quay,29,5,11,3,7,4,20,38,84,109,195,311,285,375,394,394,346,327,213,137,117,84,66,23,3577,149.0416667,1/08/2020
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
13,Sandridge Bridge,,,,,,1,2,3,2,5,1,4,4,2,1,6,5,2,,,,1,,,39,2.785714286,1/08/2020
14,State Library,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
15,Collins St (North),3,9,4,3,10,9,9,23,41,104,199,209,216,275,268,222,165,126,62,20,22,14,16,12,2041,85.04166667,1/08/2020
16,Collins Place (South),5,1,4,2,,5,25,66,59,85,109,119,144,137,132,125,86,76,37,20,19,21,6,8,1291,56.13043478,1/08/2020
17,Collins Place (North),2,,,2,1,3,6,30,164,120,83,134,66,72,131,50,22,13,10,10,2,2,3,1,927,42.13636364,1/08/2020
18,Chinatown-Swanston St (North),7,4,3,6,1,5,8,14,14,57,85,116,186,235,273,270,226,171,161,99,75,59,35,22,2132,88.83333333,1/08/2020
19,Chinatown-Lt Bourke St (South),6,1,3,7,,2,2,8,8,17,27,51,91,67,90,97,94,51,63,37,31,29,18,9,809,35.17391304,1/08/2020
20,Bourke St-Russell St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
21,Flinders St-Elizabeth St (East),85,35,42,28,19,73,70,130,259,318,494,651,687,846,1001,990,1031,913,713,439,402,381,177,92,9876,411.5,1/08/2020
22,Spencer St-Collins St (South),13,9,10,6,7,15,13,27,27,51,46,63,92,61,91,60,62,61,60,57,36,46,25,14,952,39.66666667,1/08/2020
23,Spencer St-Collins St (North),31,25,13,9,20,55,103,118,103,166,174,173,206,276,238,272,298,231,167,172,110,87,90,50,3187,132.7916667,1/08/2020
24,Melbourne Convention Exhibition Centre,6,24,9,22,13,19,69,128,262,398,429,629,711,748,817,859,714,439,172,127,62,60,65,21,6803,283.4583333,1/08/2020
25,QV Market-Elizabeth St (West),63,29,17,28,34,31,78,115,178,297,455,595,691,676,647,576,349,269,218,156,121,94,87,50,5854,243.9166667,1/08/2020
26,QV Market-Peel St,,,1,,3,1,21,41,73,129,194,215,173,187,212,194,117,65,58,30,24,33,17,13,1801,85.76190476,1/08/2020
27,The Arts Centre,16,13,26,35,22,33,35,51,74,119,165,142,261,307,309,248,265,210,87,73,56,38,39,17,2641,110.0416667,1/08/2020
28,St Kilda Rd-Alexandra Gardens,1,2,4,,1,4,13,22,57,90,109,165,203,238,219,240,204,155,62,26,13,10,13,1,1852,80.52173913,1/08/2020
29,Lonsdale St (South),14,10,4,4,4,12,25,36,28,38,84,131,149,159,176,197,153,147,138,88,57,46,22,11,1733,72.20833333,1/08/2020
30,Lygon St (West),30,6,10,5,17,3,24,22,31,53,89,115,94,122,155,148,122,117,80,72,110,78,75,64,1642,68.41666667,1/08/2020
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
32,Flinders St-Spring St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
33,Flinders St-Spark La,,1,2,1,2,3,5,11,14,47,54,41,60,75,81,82,49,36,16,9,9,3,10,6,617,26.82608696,1/08/2020
34,Southbank,31,18,6,5,4,7,46,273,324,606,481,626,802,916,929,948,781,440,192,95,55,70,39,15,7709,321.2083333,1/08/2020
35,Queen St (West),4,2,1,1,,16,13,15,30,35,62,40,57,64,61,39,66,32,30,18,13,17,9,6,631,27.43478261,1/08/2020
36,Lygon St (East),4,4,8,,,,,,,,,,,,51,88,91,76,34,24,32,18,7,10,447,34.38461538,1/08/2020
37,Alfred Place,4,,1,,1,,12,3,5,8,9,32,12,13,21,11,7,13,7,2,5,,5,,171,9,1/08/2020
38,Lonsdale St-Spring St (West),8,1,4,3,1,,8,12,19,59,57,62,63,61,91,69,68,57,35,16,16,8,5,3,726,31.56521739,1/08/2020
39,Grattan St-Swanston St (West),3,4,2,3,,1,20,11,22,29,43,43,48,30,55,62,49,53,35,25,26,18,9,3,594,25.82608696,1/08/2020
40,Monash Rd-Swanston St (West),1,3,1,1,,1,5,6,15,29,34,40,38,44,80,78,59,62,34,17,24,14,9,4,599,26.04347826,1/08/2020
41,Tin Alley-Swanston St (West),2,3,1,1,,,3,3,13,18,24,24,25,31,49,51,44,44,21,11,13,4,5,1,391,17.77272727,1/08/2020
42,Little Collins St-Swanston St (East),7,12,3,9,7,15,12,27,62,111,148,152,248,295,337,289,270,269,131,80,32,40,31,17,2604,108.5,1/08/2020
43,Flinders La-Swanston St (West),43,33,29,19,45,62,117,102,206,275,331,449,705,693,763,711,595,455,264,179,108,98,85,62,6429,267.875,1/08/2020
44,Pelham St (South),5,,,1,,2,4,14,16,14,32,39,30,32,43,35,41,23,24,11,7,26,5,5,409,19.47619048,1/08/2020
45,Melbourne Central-Elizabeth St (East),41,29,37,46,9,30,51,62,89,173,252,359,465,491,594,594,509,440,297,197,138,131,99,109,5242,218.4166667,1/08/2020
46,QVM-Queen St (East),3,3,4,3,3,14,41,65,105,166,217,268,282,314,359,262,189,99,77,29,19,37,21,14,2594,108.0833333,1/08/2020
47,QVM-Therry St (South),64,65,43,36,28,22,45,63,70,179,214,221,245,278,212,215,117,74,97,129,115,112,103,101,2848,118.6666667,1/08/2020
48,Faraday St-Lygon St (West),4,6,1,1,10,1,2,13,54,116,170,225,230,188,207,192,173,103,57,43,47,36,34,6,1919,79.95833333,1/08/2020
49,QVM-Franklin St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
50,Elizabeth St-Lonsdale St (South),5,1,,1,1,11,6,13,37,34,71,120,135,136,168,157,124,111,72,60,49,17,14,8,1351,58.73913043,1/08/2020
51,Lincoln-Swanston (W),,,,,1,,,1,,,1,1,,1,,1,,,,,,,,,6,1,1/08/2020
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
53,Lonsdale St - Elizabeth St (North),5,2,3,,,8,38,24,24,55,94,117,109,104,140,140,122,100,81,56,57,41,23,13,1356,61.63636364,1/08/2020
54,Bourke St Bridge,1,,1,1,3,7,16,42,31,43,52,47,82,76,111,131,111,73,55,29,25,28,9,7,981,42.65217391,1/08/2020
55,Bourke St - Spencer St (North),31,7,16,7,11,12,34,65,73,84,134,147,133,158,191,176,182,139,114,92,71,75,28,32,2012,83.83333333,1/08/2020
56,RMIT Bld 80 - 445 Swanston Street,,,,,,,,1,11,25,42,64,67,61,95,101,66,26,,,,,,,559,50.81818182,1/08/2020
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
58,RMIT Building 14,7,7,6,,2,8,21,10,46,78,130,137,153,180,194,219,195,213,111,72,50,25,25,14,1903,82.73913043,1/08/2020
59,380 Elizabeth St,67,52,38,29,24,41,102,125,123,237,382,565,616,700,931,959,931,763,642,397,305,264,189,100,8582,357.5833333,1/08/2020
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
61,231 Bourke St,9,9,4,7,5,6,8,28,14,57,85,129,195,151,224,206,146,148,85,69,58,30,38,12,1723,71.79166667,1/08/2020
62,Royal Pde - Grattan St,5,3,8,3,1,3,23,21,35,44,61,57,80,55,95,84,66,66,21,26,14,18,14,5,808,33.66666667,1/08/2020
63,Swanston St - City Square,9,6,3,4,5,4,15,17,34,64,71,100,130,176,186,152,121,139,64,47,26,19,20,10,1422,59.25,1/08/2020
64,State Library - New,14,7,3,2,5,7,16,25,46,126,205,322,376,504,600,642,547,501,339,172,114,72,68,23,4736,197.3333333,1/08/2020
65,Flinders Ln - Degraves St (South),,,,,,,4,12,36,67,105,124,175,155,182,137,135,69,47,45,32,13,,,1338,83.625,1/08/2020
66,Flinders Ln - Degraves St (North),,,,,,,0,19,25,46,52,58,84,76,81,62,61,24,1,0,0,0,,,589,36.8125,1/08/2020
67,Flinders Ln - Degraves St (Crossing),,,,,,,0,9,34,55,70,94,87,120,105,73,66,25,5,0,1,0,,,744,46.5,1/08/2020
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2020
0,Bourke Street Mall (North),18,5,1,4,6,4,11,32,54,151,318,487,615,663,806,772,777,539,168,56,23,15,9,2,5536,230.6666667,2/08/2020
1,Bourke Street Mall (South),10,2,8,1,3,6,3,19,24,78,154,307,377,431,438,440,405,235,73,33,23,13,10,11,3104,129.3333333,2/08/2020
2,Melbourne Central,57,47,17,25,20,25,38,41,65,105,186,312,398,440,486,543,615,501,303,192,97,84,87,85,4769,198.7083333,2/08/2020
3,Town Hall (West),25,18,4,10,15,36,36,43,73,141,235,392,472,468,485,492,470,424,181,69,34,34,23,24,4204,175.1666667,2/08/2020
4,Princes Bridge,32,13,15,25,20,43,49,50,83,133,295,352,436,471,445,390,406,307,155,99,42,30,48,17,3956,164.8333333,2/08/2020
5,Flinders Street Station Underpass,8,8,3,3,5,15,43,50,64,105,199,223,324,353,315,421,321,245,162,97,73,47,22,16,3122,130.0833333,2/08/2020
6,Birrarung Marr,9,7,,11,11,4,14,32,119,216,304,368,371,373,336,345,327,193,71,36,8,10,,1,3166,143.9090909,2/08/2020
7,Webb Bridge,2,,2,1,1,6,8,39,102,160,268,330,357,350,369,330,310,229,95,49,3,6,4,,3021,137.3181818,2/08/2020
8,Southern Cross Station,,2,,,1,2,13,30,14,36,37,35,50,59,85,52,63,47,32,28,9,13,5,1,614,29.23809524,2/08/2020
9,Victoria Point,4,1,1,,,1,7,6,16,28,22,28,40,43,31,42,49,47,23,19,32,7,6,2,455,20.68181818,2/08/2020
10,Waterfront City,2,2,,2,3,1,4,6,19,50,77,116,98,143,114,127,103,103,49,43,9,4,3,4,1082,47.04347826,2/08/2020
11,New Quay,18,9,9,5,6,1,8,27,72,136,278,333,316,382,457,375,417,314,152,139,28,14,11,11,3518,146.5833333,2/08/2020
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
13,Sandridge Bridge,,,,,,,,,2,1,3,3,3,2,2,,1,5,2,,,,,,24,2.4,2/08/2020
14,State Library,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
15,Collins St (North),6,4,7,2,5,13,21,4,23,54,72,146,181,192,208,224,165,105,42,18,9,13,13,4,1531,63.79166667,2/08/2020
16,Collins Place (South),,4,2,,1,4,4,21,49,59,79,110,159,129,80,96,71,48,18,22,2,2,1,,961,45.76190476,2/08/2020
17,Collins Place (North),,,1,,1,,1,7,6,7,13,38,29,3,4,52,12,12,3,3,1,,,2,195,10.83333333,2/08/2020
18,Chinatown-Swanston St (North),2,1,4,5,2,4,4,13,11,33,79,142,192,208,251,253,346,234,150,90,34,23,24,13,2118,88.25,2/08/2020
19,Chinatown-Lt Bourke St (South),5,4,9,1,,3,1,5,9,17,36,47,76,78,56,77,78,50,38,29,14,14,8,6,661,28.73913043,2/08/2020
20,Bourke St-Russell St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
21,Flinders St-Elizabeth St (East),65,67,48,43,44,52,69,151,168,322,453,580,770,837,918,1010,1189,991,703,502,218,142,80,42,9464,394.3333333,2/08/2020
22,Spencer St-Collins St (South),12,4,12,9,4,22,8,17,34,20,47,33,68,58,70,85,62,64,41,33,24,20,7,8,762,31.75,2/08/2020
23,Spencer St-Collins St (North),40,8,16,16,13,28,56,71,88,105,157,193,179,204,225,252,234,211,147,149,62,37,40,21,2552,106.3333333,2/08/2020
24,Melbourne Convention Exhibition Centre,20,19,5,17,6,10,41,125,218,393,629,792,786,787,837,818,751,380,166,88,30,18,10,7,6953,289.7083333,2/08/2020
25,QV Market-Elizabeth St (West),55,47,36,34,25,28,32,68,140,306,431,578,758,795,723,655,400,253,164,150,52,55,34,26,5845,243.5416667,2/08/2020
26,QV Market-Peel St,11,5,6,,2,,8,21,48,137,163,219,211,204,209,183,120,66,55,39,19,13,10,,1749,83.28571429,2/08/2020
27,The Arts Centre,27,10,25,29,11,20,40,40,68,100,197,265,293,278,265,256,276,204,108,45,30,23,16,19,2645,110.2083333,2/08/2020
28,St Kilda Rd-Alexandra Gardens,2,3,1,5,4,1,3,31,59,83,127,191,192,188,231,184,181,127,40,16,4,,2,,1675,76.13636364,2/08/2020
29,Lonsdale St (South),15,8,2,2,2,22,13,11,17,43,74,109,129,125,172,160,204,202,111,56,27,19,13,9,1545,64.375,2/08/2020
30,Lygon St (West),38,12,12,,16,3,6,4,38,49,77,99,121,133,92,141,139,142,76,54,43,30,27,33,1385,60.2173913,2/08/2020
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
32,Flinders St-Spring St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
33,Flinders St-Spark La,,3,,1,,2,8,15,18,41,48,58,69,47,72,71,45,45,17,7,4,2,,,573,30.15789474,2/08/2020
34,Southbank,19,11,5,1,1,15,31,115,253,393,654,798,819,843,789,757,629,391,204,82,19,9,6,5,6849,285.375,2/08/2020
35,Queen St (West),1,4,3,1,3,7,8,12,14,17,25,56,62,56,81,47,67,42,22,25,10,11,2,1,577,24.04166667,2/08/2020
36,Lygon St (East),2,2,,,,,,,,,,,,,25,97,82,71,36,14,8,4,,,341,34.1,2/08/2020
37,Alfred Place,,5,1,2,,,2,1,4,6,6,14,17,13,17,17,15,13,11,2,1,,1,,148,7.789473684,2/08/2020
38,Lonsdale St-Spring St (West),2,,,4,3,4,,14,15,49,51,63,82,65,72,81,65,49,29,19,6,8,,2,683,34.15,2/08/2020
39,Grattan St-Swanston St (West),2,6,2,,,,9,1,13,9,22,42,51,45,56,58,87,65,30,20,6,3,6,2,535,25.47619048,2/08/2020
40,Monash Rd-Swanston St (West),5,5,2,,2,2,3,3,8,24,42,47,59,38,57,73,91,54,35,20,1,3,2,1,577,25.08695652,2/08/2020
41,Tin Alley-Swanston St (West),2,5,1,,,,4,1,4,13,24,24,47,36,42,51,54,41,21,12,1,1,,,384,20.21052632,2/08/2020
42,Little Collins St-Swanston St (East),9,3,5,1,7,14,22,17,35,90,112,175,217,265,286,269,271,221,135,55,19,20,22,10,2280,95,2/08/2020
43,Flinders La-Swanston St (West),47,27,12,15,15,68,68,76,123,201,325,395,541,591,489,515,476,442,226,134,85,92,65,50,5078,211.5833333,2/08/2020
44,Pelham St (South),3,1,2,3,,6,,3,7,16,19,34,23,22,44,39,30,27,8,15,7,1,3,3,316,14.36363636,2/08/2020
45,Melbourne Central-Elizabeth St (East),56,22,15,19,29,20,45,54,78,134,213,300,372,468,599,593,622,425,206,158,75,44,39,17,4603,191.7916667,2/08/2020
46,QVM-Queen St (East),12,3,11,1,4,,15,21,63,136,234,756,1707,1798,925,363,242,105,68,46,11,15,9,3,6548,284.6956522,2/08/2020
47,QVM-Therry St (South),62,66,49,56,46,39,45,35,71,120,175,239,329,321,271,242,160,120,104,146,107,90,61,24,2978,124.0833333,2/08/2020
48,Faraday St-Lygon St (West),2,4,,,10,,3,1,42,80,161,226,211,167,200,214,120,80,56,27,8,5,1,6,1624,77.33333333,2/08/2020
49,QVM-Franklin St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
50,Elizabeth St-Lonsdale St (South),6,2,4,2,2,11,5,4,17,22,46,81,100,145,153,203,218,157,73,40,12,7,8,5,1323,55.125,2/08/2020
51,Lincoln-Swanston (W),,,,,,,,,,1,,17,,,,,,1,,1,,1,,,21,4.2,2/08/2020
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
53,Lonsdale St - Elizabeth St (North),1,2,3,2,5,5,4,23,15,27,54,105,119,117,143,140,192,141,76,59,9,11,11,6,1270,52.91666667,2/08/2020
54,Bourke St Bridge,3,3,1,,1,3,8,52,21,57,55,50,73,102,96,103,114,81,44,20,10,3,1,2,903,39.26086957,2/08/2020
55,Bourke St - Spencer St (North),16,16,11,2,13,16,30,37,54,89,107,146,168,185,204,231,185,171,137,72,27,40,25,8,1990,82.91666667,2/08/2020
56,RMIT Bld 80 - 445 Swanston Street,,,,,,,,5,8,20,36,74,94,68,73,124,105,34,,,,,,,641,58.27272727,2/08/2020
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
58,RMIT Building 14,7,3,2,1,3,4,8,12,25,71,105,135,167,178,216,268,262,238,110,45,10,9,9,5,1893,78.875,2/08/2020
59,380 Elizabeth St,61,39,41,35,34,30,45,66,114,182,360,477,645,687,905,1029,1207,964,552,380,107,73,66,16,8115,338.125,2/08/2020
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
61,231 Bourke St,9,4,10,3,8,8,5,13,13,58,70,131,177,149,188,185,176,125,85,52,22,13,17,13,1534,63.91666667,2/08/2020
62,Royal Pde - Grattan St,4,7,2,,2,2,3,15,27,40,70,63,88,74,83,85,68,61,25,20,11,10,5,4,769,33.43478261,2/08/2020
63,Swanston St - City Square,9,7,1,2,3,4,15,10,21,47,82,92,116,170,121,150,159,112,83,43,7,14,11,10,1289,53.70833333,2/08/2020
64,State Library - New,12,14,1,5,1,8,12,24,37,90,178,334,402,491,612,718,806,663,315,137,47,24,37,25,4993,208.0416667,2/08/2020
65,Flinders Ln - Degraves St (South),,,,,,,1,13,51,27,59,74,125,114,106,155,135,104,47,26,13,6,,,1056,66,2/08/2020
66,Flinders Ln - Degraves St (North),,,,,,,0,4,33,23,30,43,65,62,55,60,64,30,0,0,0,0,,,469,29.3125,2/08/2020
67,Flinders Ln - Degraves St (Crossing),,,,,,,0,0,42,40,61,57,87,62,77,53,58,21,0,0,0,0,,,558,34.875,2/08/2020
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2020
0,Bourke Street Mall (North),3,2,5,7,8,10,44,81,121,184,232,266,339,382,335,345,396,329,131,56,2,14,9,7,3308,137.8333333,3/08/2020
1,Bourke Street Mall (South),3,6,1,4,9,5,17,58,82,113,159,243,268,374,295,238,240,185,125,163,112,110,10,7,2827,117.7916667,3/08/2020
2,Melbourne Central,46,31,39,13,8,18,31,73,106,123,174,228,279,249,264,292,307,322,286,112,73,81,58,41,3254,135.5833333,3/08/2020
3,Town Hall (West),13,3,7,5,7,25,62,109,208,219,317,370,405,459,436,421,317,373,215,93,17,18,19,14,4132,172.1666667,3/08/2020
4,Princes Bridge,17,8,10,25,37,60,112,161,241,148,210,203,262,266,247,283,275,305,223,91,41,50,28,22,3325,138.5416667,3/08/2020
5,Flinders Street Station Underpass,5,19,15,6,13,58,107,196,266,141,198,188,268,269,225,243,295,322,228,134,90,54,23,22,3385,141.0416667,3/08/2020
6,Birrarung Marr,,8,1,9,8,13,43,128,114,66,60,95,113,117,88,88,117,185,121,42,6,2,1,2,1427,62.04347826,3/08/2020
7,Webb Bridge,,4,4,,1,11,39,118,134,96,115,131,181,147,102,154,185,278,208,74,1,5,3,1,1992,90.54545455,3/08/2020
8,Southern Cross Station,2,1,,,2,25,33,140,136,85,66,59,101,85,87,89,149,142,54,18,9,12,36,3,1334,60.63636364,3/08/2020
9,Victoria Point,,,,2,,4,14,30,40,33,43,38,38,34,29,34,29,40,43,19,6,,2,2,480,25.26315789,3/08/2020
10,Waterfront City,3,,,5,,2,18,13,21,20,30,38,47,54,29,43,55,83,64,27,,2,2,2,558,27.9,3/08/2020
11,New Quay,7,1,5,3,4,9,49,81,111,74,119,118,148,145,128,145,192,306,255,96,14,9,7,3,2029,84.54166667,3/08/2020
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2020
13,Sandridge Bridge,,,,,,1,4,5,6,3,5,2,,,,1,1,,1,,,,,,29,2.9,3/08/2020
14,State Library,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2020
15,Collins St (North),15,4,8,8,2,18,31,69,211,177,220,240,312,354,284,235,199,164,89,46,9,17,4,4,2720,113.3333333,3/08/2020
16,Collins Place (South),1,2,2,4,4,17,51,138,213,146,165,175,217,198,154,127,104,149,75,27,14,11,4,3,2001,83.375,3/08/2020
17,Collins Place (North),,,1,,1,6,19,51,60,49,51,55,62,62,52,52,68,58,34,11,8,3,2,1,706,33.61904762,3/08/2020
18,Chinatown-Swanston St (North),6,6,,,,2,5,15,41,49,78,40,158,181,154,122,152,122,124,90,23,21,25,18,1432,68.19047619,3/08/2020
19,Chinatown-Lt Bourke St (South),1,2,2,,,3,7,18,32,32,49,77,48,84,89,71,55,44,54,27,12,8,2,4,721,32.77272727,3/08/2020
20,Bourke St-Russell St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2020
21,Flinders St-Elizabeth St (East),45,33,41,33,29,68,154,320,542,423,425,619,606,759,696,839,869,1081,749,428,128,82,89,64,9122,380.0833333,3/08/2020
22,Spencer St-Collins St (South),3,,2,5,6,14,39,73,103,87,97,54,93,78,103,82,97,92,73,34,18,30,19,3,1205,52.39130435,3/08/2020
23,Spencer St-Collins St (North),25,3,10,3,6,55,109,296,331,269,244,251,259,307,305,334,414,379,262,177,72,69,90,40,4310,179.5833333,3/08/2020
24,Melbourne Convention Exhibition Centre,28,31,9,8,3,34,145,254,243,188,144,221,273,245,240,284,332,382,304,100,30,31,31,19,3579,149.125,3/08/2020
25,QV Market-Elizabeth St (West),18,9,14,20,20,22,33,57,115,134,158,211,274,246,189,196,169,212,143,88,48,34,32,23,2465,102.7083333,3/08/2020
26,QV Market-Peel St,4,,6,2,1,2,10,24,27,26,28,38,53,39,73,64,49,105,49,38,13,15,5,,671,30.5,3/08/2020
27,The Arts Centre,14,12,11,29,41,48,92,113,172,112,140,130,203,169,186,194,182,231,176,56,22,15,14,12,2374,98.91666667,3/08/2020
28,St Kilda Rd-Alexandra Gardens,1,,,1,1,2,21,51,52,41,60,78,76,62,75,38,80,100,61,23,5,,2,1,831,39.57142857,3/08/2020
29,Lonsdale St (South),14,2,4,13,5,9,17,34,41,66,81,98,131,116,90,98,126,110,95,71,32,18,21,7,1299,54.125,3/08/2020
30,Lygon St (West),14,12,,12,4,14,21,33,37,81,110,111,87,110,114,73,105,80,100,51,29,31,20,27,1276,55.47826087,3/08/2020
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2020
32,Flinders St-Spring St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2020
