,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,data_date
36,Lygon St (East),8.0,13.0,2.0,4.0,15.0,8.0,18.0,38.0,93.0,105.0,107.0,153.0,289.0,288.0,221.0,152.0,196.0,235.0,238.0,267.0,220.0,150.0,120.0,36.0,01-08-2019
37,Alfred Place,11.0,10.0,2.0,2.0,11.0,17.0,103.0,347.0,824.0,777.0,543.0,587.0,1480.0,1370.0,617.0,519.0,625.0,747.0,395.0,211.0,140.0,96.0,62.0,46.0,01-08-2019
38,Lonsdale St-Spring St (West),20.0,4.0,4.0,5.0,10.0,18.0,94.0,276.0,872.0,660.0,585.0,601.0,975.0,913.0,584.0,572.0,464.0,725.0,547.0,349.0,196.0,141.0,329.0,74.0,01-08-2019
39,Grattan St-Swanston St (West),90.0,47.0,26.0,16.0,,21.0,41.0,166.0,574.0,687.0,819.0,986.0,1195.0,1198.0,1048.0,1025.0,906.0,1068.0,724.0,396.0,254.0,265.0,103.0,31.0,01-08-2019
40,Monash Rd-Swanston St (West),50.0,22.0,33.0,6.0,,5.0,28.0,133.0,674.0,707.0,700.0,852.0,858.0,802.0,735.0,919.0,902.0,1034.0,760.0,524.0,262.0,326.0,86.0,28.0,01-08-2019
41,Tin Alley-Swanston St (West),52.0,22.0,22.0,3.0,,4.0,18.0,51.0,255.0,220.0,258.0,253.0,331.0,314.0,314.0,301.0,317.0,367.0,247.0,217.0,127.0,111.0,58.0,17.0,01-08-2019
42,Little Collins St-Swanston St (East),115.0,48.0,25.0,20.0,30.0,34.0,144.0,511.0,1006.0,787.0,821.0,1035.0,1813.0,2157.0,1568.0,1649.0,1694.0,2013.0,1512.0,1148.0,1012.0,876.0,607.0,314.0,01-08-2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
44,Pelham St (South),20.0,4.0,4.0,1.0,,5.0,35.0,122.0,352.0,332.0,269.0,302.0,414.0,441.0,285.0,275.0,282.0,337.0,231.0,156.0,89.0,105.0,72.0,34.0,01-08-2019
45,Melbourne Central-Elizabeth St (East),91.0,58.0,22.0,32.0,24.0,76.0,182.0,495.0,1042.0,890.0,953.0,1208.0,1949.0,2135.0,1909.0,1837.0,2042.0,2574.0,1909.0,1263.0,1186.0,818.0,458.0,251.0,01-08-2019
46,QVM-Queen St (East),27.0,2.0,3.0,16.0,7.0,12.0,58.0,177.0,332.0,312.0,355.0,490.0,650.0,674.0,514.0,450.0,351.0,353.0,281.0,184.0,169.0,177.0,96.0,65.0,01-08-2019
