,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,data_date
16,Collins Place (South),14.0,11.0,13.0,8.0,5.0,92.0,243.0,898.0,2362.0,1568.0,937.0,827.0,1625.0,1626.0,1039.0,854.0,779.0,1459.0,842.0,383.0,199.0,180.0,160.0,63.0,29-08-2019
17,Collins Place (North),9.0,5.0,1.0,1.0,4.0,42.0,212.0,773.0,1655.0,975.0,501.0,436.0,661.0,594.0,554.0,607.0,1117.0,1680.0,883.0,344.0,154.0,93.0,88.0,57.0,29-08-2019
18,Chinatown-Swanston St (North),82.0,50.0,35.0,24.0,12.0,23.0,50.0,99.0,276.0,139.0,362.0,491.0,1010.0,909.0,784.0,677.0,725.0,941.0,1240.0,1097.0,1022.0,757.0,432.0,201.0,29-08-2019
19,Chinatown-Lt Bourke St (South),73.0,41.0,30.0,10.0,6.0,12.0,31.0,102.0,209.0,213.0,234.0,444.0,834.0,841.0,589.0,533.0,499.0,709.0,1017.0,889.0,773.0,624.0,497.0,198.0,29-08-2019
20,Bourke St-Russell St (West),149.0,115.0,97.0,75.0,63.0,69.0,83.0,183.0,472.0,436.0,621.0,882.0,1516.0,1568.0,1158.0,1150.0,973.0,1504.0,1571.0,1052.0,1144.0,940.0,737.0,399.0,29-08-2019
21,Flinders St-Elizabeth St (East),236.0,112.0,65.0,88.0,46.0,178.0,715.0,1672.0,3130.0,2147.0,1829.0,2230.0,3059.0,3448.0,3175.0,3170.0,3846.0,4819.0,3834.0,2801.0,2251.0,1865.0,1318.0,716.0,29-08-2019
22,Spencer St-Collins St (South),35.0,24.0,8.0,7.0,5.0,61.0,246.0,789.0,1513.0,854.0,486.0,539.0,962.0,1042.0,673.0,643.0,846.0,1200.0,698.0,322.0,267.0,218.0,172.0,80.0,29-08-2019
23,Spencer St-Collins St (North),120.0,41.0,23.0,11.0,41.0,340.0,1213.0,2302.0,4489.0,3022.0,1830.0,1718.0,2408.0,2558.0,2272.0,2626.0,3846.0,5056.0,2931.0,1623.0,1101.0,892.0,643.0,367.0,29-08-2019
24,Melbourne Convention Exhibition Centre,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
25,QV Market-Elizabeth St (West),112.0,74.0,45.0,35.0,25.0,82.0,160.0,336.0,802.0,766.0,944.0,1162.0,1797.0,1724.0,1183.0,864.0,900.0,914.0,822.0,656.0,589.0,430.0,347.0,182.0,29-08-2019
26,QV Market-Peel St,30.0,2.0,2.0,4.0,3.0,7.0,31.0,77.0,201.0,239.0,185.0,244.0,326.0,283.0,230.0,216.0,176.0,262.0,229.0,118.0,123.0,88.0,71.0,40.0,29-08-2019
27,The Arts Centre,43.0,28.0,10.0,21.0,55.0,81.0,392.0,932.0,1989.0,1971.0,1151.0,1688.0,1875.0,1745.0,1808.0,1752.0,2044.0,2512.0,1809.0,872.0,454.0,597.0,413.0,144.0,29-08-2019
28,St Kilda Rd-Alexandra Gardens,16.0,9.0,1.0,6.0,5.0,21.0,126.0,237.0,401.0,292.0,357.0,460.0,646.0,738.0,490.0,531.0,591.0,730.0,451.0,209.0,189.0,101.0,69.0,118.0,29-08-2019
29,Lonsdale St (South),151.0,110.0,112.0,62.0,43.0,35.0,73.0,162.0,431.0,320.0,412.0,533.0,972.0,1103.0,750.0,710.0,757.0,1152.0,1071.0,1084.0,845.0,755.0,600.0,385.0,29-08-2019
30,Lygon St (West),33.0,18.0,16.0,12.0,11.0,12.0,41.0,72.0,186.0,165.0,245.0,213.0,306.0,356.0,284.0,188.0,242.0,338.0,351.0,397.0,397.0,294.0,234.0,115.0,29-08-2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
32,Flinders St-Spring St (West),4.0,2.0,1.0,,4.0,18.0,105.0,241.0,551.0,467.0,204.0,197.0,407.0,322.0,233.0,270.0,461.0,545.0,258.0,78.0,75.0,62.0,70.0,27.0,29-08-2019
33,Flinders St-Spark La,2.0,6.0,5.0,1.0,,34.0,48.0,135.0,352.0,254.0,202.0,206.0,297.0,338.0,237.0,208.0,282.0,417.0,194.0,108.0,93.0,92.0,75.0,35.0,29-08-2019
34,Southbank,57.0,37.0,23.0,10.0,17.0,114.0,696.0,1080.0,1819.0,956.0,802.0,1072.0,2071.0,1941.0,1267.0,1190.0,1279.0,2090.0,1548.0,1086.0,681.0,605.0,395.0,286.0,29-08-2019
35,Queen St (West),36.0,10.0,2.0,3.0,7.0,19.0,73.0,217.0,685.0,556.0,509.0,618.0,1045.0,914.0,653.0,558.0,599.0,751.0,468.0,290.0,264.0,187.0,157.0,79.0,29-08-2019
36,Lygon St (East),13.0,10.0,5.0,8.0,8.0,7.0,12.0,66.0,112.0,117.0,109.0,158.0,287.0,271.0,229.0,191.0,197.0,224.0,228.0,161.0,179.0,151.0,83.0,32.0,29-08-2019
37,Alfred Place,5.0,8.0,9.0,4.0,9.0,24.0,125.0,398.0,803.0,721.0,559.0,544.0,1401.0,1229.0,711.0,476.0,483.0,657.0,396.0,188.0,109.0,66.0,86.0,65.0,29-08-2019
38,Lonsdale St-Spring St (West),13.0,6.0,1.0,5.0,4.0,20.0,97.0,284.0,864.0,694.0,521.0,641.0,964.0,973.0,647.0,603.0,502.0,826.0,608.0,324.0,246.0,185.0,340.0,56.0,29-08-2019
39,Grattan St-Swanston St (West),58.0,14.0,2.0,14.0,5.0,23.0,52.0,140.0,477.0,605.0,656.0,896.0,1004.0,1012.0,867.0,830.0,805.0,1013.0,675.0,437.0,372.0,214.0,146.0,73.0,29-08-2019
40,Monash Rd-Swanston St (West),34.0,15.0,3.0,2.0,1.0,14.0,33.0,177.0,618.0,777.0,602.0,592.0,703.0,533.0,541.0,655.0,559.0,783.0,693.0,409.0,340.0,252.0,123.0,62.0,29-08-2019
41,Tin Alley-Swanston St (West),22.0,16.0,5.0,2.0,1.0,4.0,28.0,70.0,194.0,192.0,144.0,180.0,189.0,282.0,237.0,280.0,204.0,317.0,234.0,145.0,111.0,99.0,68.0,25.0,29-08-2019
42,Little Collins St-Swanston St (East),109.0,44.0,29.0,24.0,20.0,44.0,174.0,519.0,1081.0,800.0,843.0,1036.0,2169.0,2275.0,1864.0,1943.0,1721.0,2273.0,1759.0,1308.0,1277.0,909.0,596.0,267.0,29-08-2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
44,Pelham St (South),,,,,,,,,,89.0,300.0,289.0,297.0,416.0,358.0,132.0,,,,,,,,,29-08-2019
45,Melbourne Central-Elizabeth St (East),125.0,29.0,31.0,25.0,36.0,70.0,184.0,509.0,1056.0,915.0,887.0,1142.0,1908.0,2400.0,1881.0,1945.0,2132.0,2705.0,2111.0,1398.0,1101.0,914.0,621.0,291.0,29-08-2019
46,QVM-Queen St (East),37.0,6.0,2.0,8.0,2.0,6.0,57.0,153.0,309.0,513.0,440.0,442.0,654.0,638.0,569.0,441.0,303.0,387.0,297.0,191.0,166.0,133.0,86.0,34.0,29-08-2019
47,QVM-Therry St (South),91.0,86.0,57.0,42.0,17.0,18.0,58.0,94.0,131.0,153.0,360.0,331.0,508.0,438.0,251.0,196.0,171.0,155.0,140.0,150.0,98.0,105.0,173.0,90.0,29-08-2019
48,Faraday St-Lygon St (West),13.0,25.0,4.0,3.0,7.0,1.0,26.0,82.0,192.0,258.0,290.0,328.0,397.0,425.0,391.0,352.0,337.0,556.0,553.0,485.0,346.0,314.0,206.0,54.0,29-08-2019
49,QVM-Franklin St (North),18.0,12.0,7.0,28.0,2.0,5.0,24.0,74.0,136.0,148.0,165.0,227.0,275.0,332.0,251.0,218.0,186.0,221.0,199.0,160.0,107.0,89.0,77.0,36.0,29-08-2019
50,Elizabeth St-Lonsdale St (South),41.0,27.0,11.0,14.0,4.0,24.0,49.0,224.0,741.0,634.0,538.0,565.0,1056.0,1027.0,825.0,736.0,882.0,974.0,779.0,721.0,476.0,421.0,272.0,140.0,29-08-2019
51,Lincoln-Swanston (W),33.0,17.0,11.0,1.0,2.0,13.0,38.0,124.0,344.0,315.0,342.0,375.0,429.0,503.0,372.0,442.0,490.0,688.0,471.0,313.0,280.0,205.0,126.0,55.0,29-08-2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
53,Lonsdale St - Elizabeth St (North),32.0,24.0,7.0,7.0,7.0,12.0,85.0,153.0,428.0,365.0,347.0,550.0,778.0,763.0,638.0,584.0,682.0,819.0,676.0,510.0,430.0,326.0,148.0,97.0,29-08-2019
54,Bourke St Bridge,9.0,9.0,2.0,2.0,8.0,94.0,442.0,2062.0,4665.0,3036.0,1134.0,1030.0,2271.0,1906.0,1076.0,1242.0,2506.0,3539.0,1385.0,476.0,246.0,146.0,118.0,28.0,29-08-2019
55,Bourke St - Spencer St (North),68.0,37.0,27.0,16.0,23.0,110.0,405.0,1148.0,2323.0,1720.0,1235.0,1235.0,1887.0,1903.0,1329.0,1329.0,1884.0,2534.0,1527.0,797.0,489.0,398.0,299.0,186.0,29-08-2019
56,RMIT Bld 80 - 445 Swanston Street,8.0,4.0,1.0,1.0,,6.0,19.0,118.0,421.0,273.0,390.0,424.0,523.0,410.0,613.0,357.0,409.0,337.0,72.0,13.0,18.0,24.0,15.0,13.0,29-08-2019
57,Flinders La-Swanston St (West) Temporary,78.0,68.0,27.0,25.0,60.0,182.0,376.0,1079.0,2004.0,1695.0,1817.0,2196.0,2929.0,3032.0,2842.0,3039.0,3229.0,3910.0,3103.0,2259.0,1695.0,1241.0,599.0,192.0,29-08-2019
58,RMIT Building 14,53.0,30.0,16.0,40.0,24.0,37.0,127.0,419.0,1013.0,914.0,1078.0,1121.0,1656.0,1624.0,1547.0,1456.0,1585.0,1600.0,1371.0,901.0,878.0,595.0,323.0,199.0,29-08-2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
76,Total,2866.0,1575.0,987.0,843.0,863.0,2861.0,10429.0,27572.0,57772.0,43436.0,35129.0,40837.0,64651.0,65474.0,52598.0,52197.0,60821.0,80625.0,58052.0,37098.0,29089.0,22854.0,15810.0,7876.0,29-08-2019
0,Bourke Street Mall (North),,,,,,,,,,,,,,,,,2393.0,4346.0,3697.0,2748.0,2125.0,1419.0,746.0,409.0,30-08-2019
1,Bourke Street Mall (South),78.0,48.0,39.0,87.0,23.0,15.0,77.0,221.0,622.0,833.0,1396.0,2011.0,3291.0,3413.0,2595.0,2322.0,2439.0,2739.0,2121.0,1489.0,1139.0,643.0,362.0,244.0,30-08-2019
2,Melbourne Central,268.0,179.0,115.0,125.0,58.0,69.0,173.0,333.0,808.0,767.0,1456.0,2005.0,2900.0,3112.0,2683.0,2319.0,2585.0,2973.0,3299.0,2898.0,2799.0,2650.0,2051.0,1458.0,30-08-2019
3,Town Hall (West),126.0,69.0,58.0,50.0,58.0,126.0,205.0,466.0,1076.0,1186.0,2101.0,2424.0,3450.0,3920.0,3435.0,2932.0,3295.0,3745.0,3422.0,2487.0,2172.0,2091.0,1347.0,984.0,30-08-2019
4,Princes Bridge,145.0,49.0,30.0,46.0,62.0,107.0,339.0,917.0,2184.0,1594.0,2030.0,2657.0,3014.0,2939.0,2801.0,2361.0,2748.0,3876.0,3385.0,2474.0,1818.0,3187.0,2767.0,1461.0,30-08-2019
5,Flinders Street Station Underpass,202.0,96.0,78.0,55.0,60.0,233.0,993.0,1832.0,3926.0,2348.0,1513.0,1596.0,2714.0,2656.0,2510.0,2710.0,3439.0,5049.0,3182.0,2156.0,1662.0,1629.0,1304.0,908.0,30-08-2019
6,Birrarung Marr,10.0,6.0,,1.0,4.0,27.0,104.0,298.0,509.0,303.0,293.0,244.0,386.0,375.0,328.0,263.0,374.0,488.0,342.0,226.0,107.0,117.0,229.0,46.0,30-08-2019
7,Webb Bridge,12.0,4.0,1.0,2.0,2.0,27.0,94.0,288.0,473.0,289.0,209.0,277.0,849.0,836.0,385.0,348.0,503.0,655.0,420.0,252.0,170.0,171.0,50.0,57.0,30-08-2019
8,Southern Cross Station,11.0,12.0,2.0,4.0,4.0,71.0,496.0,1867.0,4127.0,2660.0,1302.0,1283.0,2146.0,1773.0,1376.0,1437.0,2995.0,3540.0,1525.0,535.0,224.0,188.0,139.0,74.0,30-08-2019
9,Victoria Point,9.0,15.0,1.0,5.0,2.0,14.0,76.0,90.0,77.0,453.0,114.0,282.0,624.0,525.0,375.0,352.0,571.0,730.0,341.0,199.0,98.0,85.0,55.0,30.0,30-08-2019
10,Waterfront City,1.0,7.0,,,2.0,4.0,18.0,55.0,93.0,52.0,73.0,82.0,136.0,169.0,95.0,75.0,94.0,100.0,84.0,48.0,66.0,41.0,34.0,31.0,30-08-2019
11,New Quay,7.0,19.0,6.0,1.0,3.0,16.0,53.0,166.0,354.0,317.0,318.0,294.0,657.0,610.0,412.0,399.0,454.0,453.0,415.0,288.0,261.0,184.0,169.0,131.0,30-08-2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
13,Sandridge Bridge,87.0,42.0,32.0,9.0,41.0,92.0,296.0,617.0,1375.0,825.0,640.0,640.0,995.0,802.0,885.0,889.0,1204.0,1803.0,1042.0,695.0,596.0,626.0,443.0,430.0,30-08-2019
14,State Library,107.0,53.0,44.0,22.0,25.0,47.0,82.0,272.0,699.0,706.0,1251.0,1414.0,2199.0,2424.0,2259.0,1762.0,1921.0,2481.0,2254.0,1953.0,1899.0,1516.0,1058.0,617.0,30-08-2019
15,Collins St (North),59.0,35.0,21.0,20.0,26.0,47.0,263.0,454.0,934.0,979.0,1324.0,1561.0,2591.0,2648.0,2029.0,1555.0,1569.0,1766.0,1309.0,704.0,639.0,444.0,320.0,212.0,30-08-2019
16,Collins Place (South),42.0,23.0,12.0,9.0,1.0,81.0,234.0,788.0,2095.0,1437.0,1090.0,883.0,1733.0,1800.0,1015.0,734.0,819.0,1116.0,779.0,442.0,273.0,233.0,259.0,109.0,30-08-2019
17,Collins Place (North),22.0,4.0,5.0,3.0,1.0,37.0,188.0,700.0,1616.0,932.0,621.0,536.0,721.0,766.0,693.0,597.0,1010.0,1301.0,701.0,283.0,140.0,116.0,170.0,97.0,30-08-2019
18,Chinatown-Swanston St (North),122.0,71.0,30.0,45.0,15.0,36.0,46.0,59.0,157.0,156.0,359.0,546.0,1083.0,1135.0,736.0,748.0,768.0,1327.0,1582.0,1565.0,1367.0,1085.0,816.0,599.0,30-08-2019
19,Chinatown-Lt Bourke St (South),105.0,41.0,41.0,95.0,30.0,33.0,54.0,127.0,215.0,290.0,457.0,626.0,1236.0,1270.0,704.0,729.0,626.0,997.0,1382.0,1578.0,1613.0,1145.0,1014.0,598.0,30-08-2019
20,Bourke St-Russell St (West),290.0,267.0,120.0,140.0,80.0,59.0,94.0,205.0,431.0,482.0,622.0,858.0,1755.0,1943.0,1348.0,1197.0,1203.0,1711.0,1678.0,1637.0,1523.0,1444.0,1140.0,873.0,30-08-2019
21,Flinders St-Elizabeth St (East),302.0,190.0,132.0,151.0,90.0,234.0,670.0,1430.0,2796.0,2249.0,2130.0,2502.0,3671.0,3918.0,3567.0,3455.0,4146.0,4676.0,3871.0,3075.0,2361.0,2347.0,1815.0,1277.0,30-08-2019
22,Spencer St-Collins St (South),21.0,15.0,21.0,21.0,12.0,47.0,280.0,695.0,1451.0,1026.0,832.0,967.0,1491.0,1411.0,928.0,762.0,926.0,1152.0,628.0,432.0,298.0,265.0,261.0,157.0,30-08-2019
23,Spencer St-Collins St (North),148.0,47.0,34.0,21.0,33.0,302.0,1034.0,2357.0,4390.0,2782.0,1738.0,1667.0,2403.0,2439.0,2157.0,2648.0,3931.0,4400.0,2961.0,1766.0,1101.0,1003.0,823.0,581.0,30-08-2019
24,Melbourne Convention Exhibition Centre,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
25,QV Market-Elizabeth St (West),129.0,87.0,71.0,57.0,50.0,79.0,148.0,336.0,812.0,791.0,1517.0,1557.0,2292.0,2365.0,1659.0,1125.0,955.0,986.0,915.0,671.0,627.0,521.0,455.0,315.0,30-08-2019
26,QV Market-Peel St,14.0,12.0,2.0,2.0,8.0,21.0,30.0,96.0,182.0,203.0,271.0,276.0,447.0,436.0,310.0,256.0,214.0,241.0,201.0,184.0,150.0,122.0,149.0,83.0,30-08-2019
27,The Arts Centre,70.0,34.0,18.0,46.0,49.0,107.0,401.0,972.0,2386.0,1765.0,2063.0,2757.0,2943.0,2841.0,2420.0,1918.0,2055.0,3013.0,2928.0,2096.0,1151.0,2903.0,2636.0,1240.0,30-08-2019
28,St Kilda Rd-Alexandra Gardens,34.0,11.0,8.0,11.0,18.0,27.0,134.0,279.0,416.0,415.0,592.0,663.0,965.0,1042.0,901.0,668.0,687.0,931.0,664.0,397.0,238.0,246.0,264.0,114.0,30-08-2019
29,Lonsdale St (South),226.0,192.0,126.0,90.0,75.0,61.0,81.0,152.0,402.0,366.0,427.0,595.0,1180.0,1287.0,873.0,812.0,841.0,1287.0,1463.0,1454.0,1280.0,1201.0,1037.0,901.0,30-08-2019
30,Lygon St (West),43.0,25.0,4.0,11.0,13.0,26.0,60.0,100.0,161.0,177.0,279.0,246.0,390.0,415.0,390.0,292.0,302.0,470.0,522.0,584.0,724.0,641.0,525.0,317.0,30-08-2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
32,Flinders St-Spring St (West),12.0,3.0,,3.0,6.0,9.0,71.0,217.0,558.0,427.0,211.0,236.0,359.0,307.0,213.0,262.0,414.0,477.0,268.0,119.0,78.0,82.0,57.0,35.0,30-08-2019
33,Flinders St-Spark La,30.0,7.0,7.0,3.0,7.0,19.0,61.0,117.0,268.0,255.0,239.0,229.0,398.0,438.0,320.0,255.0,324.0,363.0,225.0,147.0,89.0,105.0,94.0,60.0,30-08-2019
34,Southbank,94.0,51.0,29.0,25.0,30.0,134.0,620.0,920.0,1907.0,1122.0,1077.0,1262.0,2527.0,2604.0,1642.0,1772.0,2056.0,2564.0,2211.0,1822.0,1477.0,1472.0,1133.0,554.0,30-08-2019
35,Queen St (West),48.0,29.0,24.0,13.0,8.0,24.0,71.0,211.0,582.0,543.0,480.0,605.0,1332.0,1062.0,653.0,534.0,598.0,844.0,550.0,388.0,358.0,457.0,527.0,475.0,30-08-2019
36,Lygon St (East),10.0,6.0,4.0,12.0,5.0,12.0,20.0,46.0,102.0,119.0,135.0,256.0,330.0,323.0,284.0,197.0,192.0,251.0,297.0,247.0,333.0,221.0,202.0,71.0,30-08-2019
37,Alfred Place,40.0,7.0,12.0,1.0,8.0,22.0,98.0,324.0,781.0,727.0,507.0,503.0,1318.0,1223.0,584.0,396.0,460.0,588.0,371.0,232.0,110.0,128.0,91.0,54.0,30-08-2019
38,Lonsdale St-Spring St (West),18.0,15.0,,6.0,11.0,27.0,81.0,298.0,799.0,575.0,591.0,610.0,1128.0,1015.0,820.0,642.0,740.0,996.0,810.0,572.0,495.0,224.0,410.0,117.0,30-08-2019
39,Grattan St-Swanston St (West),34.0,12.0,10.0,8.0,3.0,19.0,55.0,194.0,536.0,604.0,1113.0,1421.0,1573.0,1668.0,1278.0,829.0,702.0,837.0,504.0,350.0,220.0,188.0,111.0,88.0,30-08-2019
40,Monash Rd-Swanston St (West),25.0,10.0,10.0,3.0,1.0,8.0,27.0,169.0,572.0,636.0,434.0,594.0,704.0,617.0,483.0,640.0,722.0,823.0,508.0,367.0,266.0,138.0,92.0,72.0,30-08-2019
41,Tin Alley-Swanston St (West),25.0,9.0,4.0,2.0,1.0,5.0,11.0,56.0,165.0,197.0,220.0,239.0,250.0,340.0,250.0,312.0,260.0,295.0,215.0,158.0,119.0,72.0,47.0,30.0,30-08-2019
42,Little Collins St-Swanston St (East),149.0,71.0,48.0,41.0,34.0,51.0,170.0,507.0,1024.0,767.0,1248.0,1495.0,2398.0,2842.0,2345.0,1863.0,1880.0,2446.0,2212.0,1662.0,1840.0,1586.0,1116.0,635.0,30-08-2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
44,Pelham St (South),,,,,,,,44.0,122.0,,,22.0,380.0,402.0,281.0,336.0,215.0,252.0,181.0,113.0,110.0,80.0,46.0,42.0,30-08-2019
45,Melbourne Central-Elizabeth St (East),127.0,126.0,63.0,56.0,39.0,101.0,190.0,477.0,1071.0,920.0,1325.0,1805.0,2570.0,3070.0,2597.0,1997.0,2322.0,2794.0,2377.0,1752.0,1399.0,1207.0,840.0,535.0,30-08-2019
46,QVM-Queen St (East),21.0,20.0,2.0,6.0,11.0,21.0,45.0,141.0,293.0,407.0,434.0,562.0,627.0,692.0,571.0,541.0,452.0,371.0,285.0,224.0,233.0,156.0,169.0,111.0,30-08-2019
47,QVM-Therry St (South),73.0,62.0,28.0,56.0,18.0,26.0,51.0,93.0,181.0,209.0,336.0,335.0,479.0,528.0,343.0,243.0,253.0,192.0,216.0,198.0,156.0,117.0,146.0,174.0,30-08-2019
48,Faraday St-Lygon St (West),12.0,25.0,10.0,6.0,6.0,6.0,28.0,69.0,177.0,213.0,310.0,348.0,516.0,542.0,474.0,411.0,406.0,623.0,673.0,656.0,601.0,459.0,405.0,133.0,30-08-2019
49,QVM-Franklin St (North),27.0,20.0,12.0,12.0,9.0,6.0,41.0,73.0,113.0,125.0,226.0,233.0,354.0,332.0,339.0,261.0,185.0,206.0,207.0,194.0,167.0,110.0,134.0,60.0,30-08-2019
50,Elizabeth St-Lonsdale St (South),66.0,25.0,21.0,20.0,14.0,29.0,64.0,193.0,711.0,555.0,580.0,659.0,1096.0,1145.0,958.0,792.0,881.0,1042.0,1075.0,880.0,757.0,716.0,521.0,430.0,30-08-2019
51,Lincoln-Swanston (W),42.0,18.0,3.0,7.0,4.0,8.0,42.0,97.0,313.0,396.0,1098.0,1112.0,1250.0,1213.0,1096.0,667.0,569.0,653.0,423.0,315.0,203.0,230.0,114.0,103.0,30-08-2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
53,Lonsdale St - Elizabeth St (North),46.0,27.0,6.0,6.0,22.0,13.0,102.0,141.0,411.0,375.0,504.0,599.0,912.0,946.0,688.0,604.0,700.0,887.0,895.0,642.0,555.0,395.0,355.0,234.0,30-08-2019
54,Bourke St Bridge,15.0,15.0,11.0,2.0,7.0,71.0,406.0,1570.0,3917.0,2760.0,1195.0,1164.0,2606.0,2211.0,1284.0,1306.0,2384.0,2680.0,1209.0,469.0,241.0,181.0,149.0,88.0,30-08-2019
55,Bourke St - Spencer St (North),114.0,60.0,51.0,19.0,32.0,104.0,329.0,1104.0,2263.0,1649.0,1224.0,1260.0,2025.0,2097.0,1487.0,1431.0,2048.0,2461.0,1515.0,946.0,685.0,525.0,541.0,392.0,30-08-2019
56,RMIT Bld 80 - 445 Swanston Street,6.0,2.0,1.0,,,1.0,15.0,93.0,437.0,354.0,683.0,662.0,512.0,475.0,558.0,265.0,255.0,261.0,39.0,28.0,13.0,13.0,15.0,18.0,30-08-2019
57,Flinders La-Swanston St (West) Temporary,92.0,53.0,59.0,41.0,79.0,184.0,391.0,962.0,1974.0,1767.0,2507.0,2836.0,3396.0,3995.0,3693.0,3105.0,3654.0,4192.0,3750.0,2895.0,2279.0,2278.0,1844.0,1166.0,30-08-2019
58,RMIT Building 14,89.0,29.0,33.0,23.0,18.0,41.0,97.0,287.0,896.0,858.0,1235.0,1117.0,1956.0,1894.0,1769.0,1248.0,1366.0,1407.0,1228.0,802.0,712.0,559.0,395.0,274.0,30-08-2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,30-08-2019
76,Total,3905.0,2355.0,1499.0,1500.0,1218.0,2986.0,9809.0,24575.0,54940.0,42943.0,44930.0,51613.0,79258.0,81251.0,64879.0,56574.0,69105.0,86857.0,69357.0,51494.0,42117.0,39962.0,31992.0,20304.0,30-08-2019
0,Bourke Street Mall (North),284.0,146.0,100.0,96.0,34.0,49.0,74.0,160.0,385.0,867.0,1568.0,2606.0,3357.0,3643.0,4186.0,4032.0,3965.0,3668.0,2899.0,1950.0,1157.0,717.0,712.0,404.0,31-08-2019
1,Bourke Street Mall (South),146.0,155.0,105.0,91.0,48.0,120.0,71.0,135.0,309.0,807.0,1168.0,1876.0,2352.0,2513.0,2830.0,3017.0,2804.0,2331.0,1406.0,799.0,565.0,397.0,394.0,216.0,31-08-2019
2,Melbourne Central,852.0,415.0,328.0,249.0,143.0,133.0,49.0,156.0,305.0,617.0,934.0,1320.0,2015.0,2511.0,2671.0,2618.0,2626.0,2973.0,2695.0,2923.0,2645.0,2308.0,1898.0,1499.0,31-08-2019
